ORD,DFW,LAX,ATL,DEN,SFO,IAH,PHX,LAS,SEA,BOS,LGA,JFK,MSP,EWR,DTW,MCO,CLT,BWI,PHL,SLC,MIA,SAN,MDW,DCA,FLL,DAL,HOU,TPA,BNA,STL,PDX,OAK,AUS,CLE,SMF,SJC,SNA,MCI,IAD
-3,265,-20,86,0,-12,-1,-11,91,26,-16,71,13,162,-4,99,302,10,7,-13,12,660,-5,-19,79,2342,-19,-8,32,-10,-5,-16,69,-7,-16,-18,110,-16,-20,12
-11,3,22,-10,35,-11,-3,33,-4,159,-12,63,-16,-12,3,-20,17,-17,-16,-7,91,12,62,19,142,2345,-4,16,5,-4,-5,-20,-5,-16,2343,26,31,-20,-13,9
-9,0,-20,29,-18,15,-4,52,11,154,-13,60,2347,-10,-8,63,61,140,-7,9,-19,-8,-18,-1,76,-16,-2,7,-10,-5,2,-2,-19,288,11,64,51,76,-8,-14
57,53,9,-7,-18,96,17,-12,78,107,-17,-19,2344,-16,-20,9,-15,23,291,1,149,-13,3,-15,119,-15,-9,22,-11,-5,-17,0,119,94,-12,6,38,-20,-15,157
-3,25,70,32,91,47,-17,-16,6,155,-11,16,-17,-11,19,2347,2,133,-4,-1,0,-17,56,-19,116,5,-17,-14,-17,2340,-20,50,62,30,-19,3,61,-14,-18,63
-2,-11,28,-20,-12,-6,9,42,8,108,-20,-1,8,29,41,-19,-10,7,-3,286,309,-1,-17,5,197,16,-11,-20,-11,-3,3,-9,-12,-20,77,-5,146,2340,-16,23
-14,-12,-19,-13,-6,98,-11,-15,3,-13,36,11,2341,95,-6,-14,-5,20,1,10,136,-14,32,-20,297,-19,86,-16,-10,0,23,31,-7,13,-20,239,-1,47,92,19
89,-13,-16,2341,16,11,-3,-7,41,-12,-15,-1,6,20,17,-16,15,-18,-17,-20,95,34,-20,-15,17,2342,-14,10,-17,40,-5,71,-15,100,60,-13,3,-1,-18,75
37,6,-7,0,15,-8,26,-3,18,11,2,46,63,33,33,111,151,8,52,-8,0,42,50,-14,47,-13,-17,-19,-18,-18,5,-17,-13,-18,43,-16,110,-13,126,3
31,-12,9,2,-5,32,45,-16,-19,-4,-17,10,-11,40,65,0,284,-8,19,43,-8,-4,-1,108,4,120,-3,-20,-16,-3,85,45,-8,16,-10,130,24,5,27,17
